구분,대여소번호,대여소명,대여소 주소,거치대수,위도,경도
강서구,1118, 증미역 3번출구뒤(등촌두산위브센티움오피스텔),서울특별시 강서구 양천로 지하 560,10,37.557461,126.861458
강서구,1119, 염창동 한마음아파트앞(염창동 빛나는 음악학원앞),서울특별시 강서구 양천로 637,6,37.554253,126.867561
강서구,1120, 대림경동아파트앞,서울특별시 강서구 허준로 121,10,37.565189,126.853996
강서구,1121, 가양레포츠센터앞,서울특별시 강서구 양천로61길 101,15,37.559479,126.86438
강서구,1122, 황금내근린공원,서울특별시 강서구 허준로 221-40,10,37.561932,126.863869
강서구,1123, 공암나루근린공원 관리사무소옆,서울특별시 강서구 강서로80길 117,15,37.57048,126.849503
강서구,1124, 발산역 6번출구옆(다이소앞),서울특별시 강서구 공항대로 280,10,37.557968,126.838287
강서구,1125, 명덕고교입구(영종빌딩),서울특별시 강서구 강서로 304,10,37.552914,126.836571
강서구,1126, 우장산역 1번출구옆(우장산아이파크105동앞),서울특별시 강서구 강서로 지하 262,7,37.548908,126.836563
강서구,1127, 화곡역(에이스정형외과앞) 버스정류장,서울특별시 강서구 화곡로 157,10,37.540981,126.838547
강서구,1128, 화곡역 6번출구,서울특별시 강서구 화곡로 지하 168,10,37.541412,126.840225
강서구,1129, 화곡역 1번 출구 앞,서울특별시 강서구 화곡로 지하 168,10,37.542099,126.840218
강서구,1130, 화곡본동시장 버스정류장,서울특별시 강서구 화곡로 196,7,37.542751,126.842621
강서구,1131, 꿈돌이공원 앞,서울특별시 강서구 화곡로 232,8,37.546444,126.845459
강서구,1132, 등촌역 7번출구,서울특별시 강서구 공항대로 지하 529,10,37.551109,126.863708
강서구,1135, 강서구의회,서울특별시 강서구 등촌로 185,10,37.546532,126.862549
강서구,1136, 등촌2파출소,서울특별시 강서구 등촌로 167,10,37.544788,126.862
강서구,1137, 등촌2동주민센터,서울특별시 강서구 등촌로 143,10,37.541649,126.863365
강서구,1139, 용문사 버스정류장,서울특별시 강서구 등촌로 95,8,37.537891,126.863396
강서구,1140, 목동사거리 버스정류장,서울특별시 강서구 등촌로 19,15,37.531399,126.863609
강서구,1141, 곰달래 문화복지센터 1-1,서울특별시 강서구 강서로5길 50,10,37.52906,126.84848
강서구,1145, 곰달래 문화복지센터 1-2,서울특별시 강서구 강서로5길 50,10,37.528919,126.848083
강서구,1146, 곰달래사거리,서울특별시 강서구 곰달래로 51,10,37.530338,126.838257
강서구,1148, 볏골공원,서울특별시 강서구 까치산로4길 22,10,37.54147,126.84478
강서구,1149, 신방화역환승주차장,서울특별시 강서구 마곡서1로 111-12,13,37.567284,126.818275
강서구,1150, 송정역 1번출구,서울특별시 강서구 공항대로3길 18,10,37.56155,126.810478
강서구,1153, 발산역 2번출구,서울특별시 강서구 공항대로 281,10,37.55891,126.838097
강서구,1155, 기쁜우리복지관,서울특별시 강서구 가양동 1458-15 ,10,37.56926,126.848419
강서구,1158, 가양역 8번출구,서울특별시 강서구 양천로 지하 485,10,37.565853,126.846596
강서구,1159, 서서울모터리움앞,서울특별시 강서구 양천로53길 30,20,37.565853,126.846596
강서구,1160, 양천향교역 7번출구앞,서울특별시 강서구 양천로 지하 341,20,37.56768,126.840897
강서구,1161, 강서면허시험장앞,서울특별시 강서구 남부순환로 171,10,37.549694,126.819664
강서구,1162, 공항초등학교건너편,서울특별시 강서구 마곡서1로 68,10,37.562679,126.820473
강서구,1163, 방화동강서기동대앞,서울특별시 강서구 방화대로34길 65,10,37.570499,126.820084
강서구,1166, 강서구립등빛도서관,서울특별시 강서구 강서로62길 48,10,37.562569,126.842461
관악구,2102, 봉림교 교통섬,서울특별시 관악구 관천로 52,20,37.48423,126.926392
관악구,2103, 신림동 우방아파트,서울특별시 관악구 관천로27길 2,10,37.489178,126.919273
관악구,2104, 사당역 5번출구,서울특별시 동작구 남부순환로 지하 2089,13,37.476089,126.981331
관악구,2105, 미성동 신림체육센터,서울특별시 관악구 난곡로 295,12,37.480251,126.914604
관악구,2106, 난곡 새마을금고,서울특별시 관악구 난곡로 210,12,37.473728,126.918404
관악구,2107, 도림천 신화교,서울특별시 관악구 신림로 40,25,37.475471,126.936455
관악구,2108, 은천치안센터,서울특별시 관악구 봉천로 375,20,37.483341,126.943199
관악구,2109, 은천로입구 가로공원,서울특별시 양천구 가로공원로 지하 133,15,37.486225,126.935829
관악구,2110, 조원동 미성아파트,서울특별시 관악구 시흥대로 560,9,37.483192,126.902031
관악구,2111, 서울대입구역 1번출구,서울특별시 관악구 남부순환로 1830,10,37.480869,126.953316
관악구,2112, 서울대입구역 마에스트로,서울특별시 관악구 남부순환로 지하 1822,15,37.481339,126.950645
관악구,2113, 관악동작견인차량보관소,서울특별시 관악구 신사로 7,10,37.484661,126.9039
관악구,2115, 관악농협농산물백화점,서울특별시 관악구 남부순환로 1369,15,37.479916,126.90284
관악구,2116, 에이스에이존빌딩,서울특별시 관악구 남부순환로 지하 1822,9,37.481705,126.950829
관악구,2119, 중앙동 동진빌딩,서울특별시 관악구 관악로 217,10,37.484257,126.954697
관악구,2122, 낙성대로 입구,서울특별시 관악구 남부순환로 1889,20,37.478058,126.960495
관악구,2127, 보성운수차고지 맞은편,서울특별시 관악구 난곡로 99,10,37.464886,126.919479
관악구,2128, 관악구청교차로,서울특별시 관악구 관악로 153,12,37.479164,126.952583
관악구,2129, 낙성대 과학전시관,서울특별시 관악구 낙성대로 101,10,37.469055,126.958145
관악구,2130, 영어마을 관악캠프,서울특별시 관악구 낙성대로 70,15,37.47197,126.958763
관악구,2135, 신림역 5번출구,서울특별시 관악구 남부순환로 지하 1614,11,37.484409,126.928909
관악구,2136, 신림역 8번출구,서울특별시 관악구 신림로 340,10,37.484577,126.929916
관악구,2137, KT&G 관악지점,서울특별시 관악구 남부순환로 1675,10,37.484901,126.936531
관악구,2140, 신림1교 교차로,서울특별시 관악구 신림로 270,12,37.478428,126.931862
관악구,2141, 미림여고입구 교차로,서울특별시 관악구 신림로 137,12,37.472294,126.933411
관악구,2143, 서울산업정보학교,서울특별시 관악구 신림로 67,10,37.470695,126.9422
관악구,2144, 난우길입구,서울특별시 관악구 문성로 115,15,37.477776,126.916756
관악구,2145, 은천초등학교 육교,서울특별시 관악구 은천로 69,12,37.486359,126.942924
관악구,2148, 낙성대역 3번출구 뒤,서울특별시 관악구 남부순환로 지하 1928,10,37.477028,126.963394
